Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;3;null;null;null;null;null;
2019-03-31;12;146,6;937,618279;21,235081;8,4;3,052957;
2019-04-30;12;146;937,04125;20,499583;7,3;2,695278;
2019-05-31;17;299,6;937,715457;17,879167;8,8;3,192608;
2019-06-30;7;43,2;940,604583;17,962639;9,6;3,707083;
2019-07-31;12;93,4;940,663306;14,434005;10;3,342339;
2019-08-31;8;28,6;942,051724;15,836213;10,6;3,85226;
2019-09-30;7;56,4;937,750694;19,43;11,9;3,963195;
2019-10-31;14;197,4;936,395833;21,732258;10,7;3,793318;
2019-11-30;13;183,2;934,643472;22,582639;10,8;3,513333;
2019-12-31;11;149,6;934,857796;22,824059;11,6;3,235215;
2020-01-31;11;115;934,189247;23,598522;9,2;3,334543;
2020-02-29;12;158,8;936,15;22,572988;7,3;3,109195;
2020-03-31;5;33,2;937,42544;23,446591;12,3;2,871175;
2020-04-30;5;87,8;939,278333;18,768055;7,5;3,119583;
2020-05-31;10;185,6;939,435753;15,558602;9,1;3,261694;
2020-06-30;19;296;938,431111;16,407778;16,1;4,235833;
2020-07-31;13;166,8;939,16828;14,964919;9;3,863441;
2020-08-31;6;117,8;939,763575;17,274597;9,5;3,547715;
2020-09-30;5;40,2;937,365417;20,488056;9,2;3,758333;
2020-10-31;6;19,2;935,683871;22,057392;8,8;3,477688;
2020-11-30;11;138,6;936,005581;22,012083;9,3;3,602475;
2020-12-31;8;239,2;934,343402;23,56198;9,4;3,426087;
2021-01-31;20;null;934,508333;22,724074;9,1;3,766821;
2021-02-28;12;76,8;935,085268;22,001637;7,6;3,005804;
2021-03-31;11;97,8;935,72763;22,22275;6,6;3,033678;
2021-04-30;6;23;938,937778;19,590833;9;3,124167;
2021-05-31;10;67,6;939,110349;16,118145;10,1;3,084005;
2021-06-30;15;185,6;940,292917;13,709861;9,9;3,2825;
2021-07-31;4;56;942,188575;13,439516;9,8;3,417339;
2021-08-31;3;null;941,447902;17,573332;9,4;3,453556;
2021-09-30;2;null;null;null;10,6;null;
2021-10-31;14;323,6;936,356557;19,249749;11,3;3,538049;
2021-11-30;7;108;934,499764;22,516764;8,4;3,28841;
2021-12-31;4;7,4;933,608205;24,61001;12,2;3,436618;
2022-01-31;15;89,6;934,105195;24,778886;8,4;3,544653;
2022-02-28;11;104;934,901669;24,157059;10;3,140774;
2022-03-31;17;209,6;935,952707;21,453955;8,7;3,336668;
2022-04-30;14;268,6;937,314861;18,91875;9,8;3,289722;
2022-05-31;18;306;938,916667;14,468011;8,8;3,269086;
2022-06-30;13;207,8;939,087373;13,698744;9,8;3,330725;
2022-07-31;9;78,6;938,542818;18,074877;11,7;4,179809;
2022-08-31;10;175,2;939,875269;15,130511;11,7;3,739113;
2022-09-30;14;145;938,476856;15,432664;14,1;3,658523;
2022-10-31;17;361,6;936,141431;18,439376;9,5;3,405192;
2022-11-30;4;49;937,139464;20,168887;11,4;3,845347;
2022-12-31;10;89,8;933,645536;23,610547;8,9;3,216088;
2023-01-31;11;137,8;934,75154;23,874068;9,6;3,014088;
2023-02-28;10;111;935,44799;22,294966;7,8;2,934429;
2023-03-31;9;86,6;936,78931;23,113956;11,5;2,801444;
2023-04-30;9;156,2;937,177548;19,239946;8,7;2,843762;
2023-05-31;8;208,4;939,963176;17,3875;8,1;2,932301;
2023-06-30;10;182,6;940,81625;15,548611;9,1;3,559912;
2023-07-31;11;191,6;940,242742;16,263978;13,8;3,524731;
2023-08-31;8;102,6;938,042117;17,596009;9,1;3,565843;
2023-09-30;11;219,6;935,828067;20,750287;10,1;4,253521;
2023-10-31;7;null;null;null;null;null;

