Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2003-11-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-11-30;10;null;null;null;null;null;
2003-12-31;19;253,6;977,17043;26,193011;9,5;2,188441;
2004-01-31;25;272,2;975,247592;25,621681;9,7;2,138026;
2004-02-29;19;258,8;977,527086;25,539574;6,4;1,988231;
2004-03-31;13;69,6;977,652016;26,044489;10;1,836156;
2004-04-30;11;88;978,769209;25,476528;7,1;1,855797;
2004-05-31;5;40,6;981,788441;22,641398;5,7;2,143683;
2004-06-30;0;0;983,3175;22,523212;6,8;2,025447;
2004-07-31;5;38,4;982,234035;22,050923;6,1;2,270991;
2004-08-31;0;0;982,099509;24,745658;8,3;2,387769;
2004-09-30;2;36,2;979,069927;27,417893;8,1;2,588774;
2004-10-31;11;72,8;977,524801;27,383322;8,3;2,421669;
2004-11-30;14;182,6;977,032452;27,116021;9,2;2,254553;
2004-12-31;20;269,8;976,908597;26,9482;8,4;2,057086;
2005-01-31;22;248,4;975,938485;26,679313;8,5;2,057672;
2005-02-28;7;null;976,993268;26,982797;6,2;2,067207;
2005-03-31;17;123;977,999458;26,569589;9,7;1,947695;
2005-04-30;13;48,6;979,74206;25,714709;7;1,969387;
2005-05-31;3;null;980,237647;25,043972;6,3;2,115429;
2005-06-30;5;24,6;981,493075;24,110078;6,3;2,065124;
2005-07-31;null;0;983,514581;23,106405;6,9;2,543907;
2005-08-31;1;,2;980,937258;25,575822;7,6;2,517008;
2005-09-30;8;26,4;980,379217;25,419318;8,4;2,871365;
2005-10-31;9;null;977,954142;27,642089;9,7;2,318601;
2005-11-30;14;99,4;976,174861;26,723472;8;2,111389;
2005-12-31;24;270;975,95121;25,627688;8,8;2,265188;
2006-01-31;21;262,4;977,317204;26,035215;6,6;1,95336;
2006-02-28;18;null;977,164246;26,047343;7,3;1,890903;
2006-03-31;22;224,6;977,681522;25,816904;8,5;1,934245;
2006-04-30;7;null;978,221188;25,585819;6,5;1,698188;
2006-05-31;1;null;null;22,864684;5,7;null;
2006-06-30;null;0;982,132309;23,758933;6,1;1,826062;
2006-07-31;2;1,8;982,451099;23,602025;7,9;2,141526;
2006-08-31;null;null;null;null;6,7;null;
