Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2011-09-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-09-30;1;null;null;null;null;null;
2011-10-31;18;160,2;null;23,44086;9,4;null;
2011-11-30;11;62;null;23,481389;8,5;null;
2011-12-31;18;277,4;null;23,261694;6,5;null;
2012-01-31;27;281,4;null;22,356317;6,8;null;
2012-02-29;16;182,4;null;23,257615;7,9;null;
2012-03-31;23;209,4;null;22,871085;8;null;
2012-04-30;18;91,6;null;23,126111;6,9;null;
2012-05-31;9;91,8;null;20,95215;6,4;null;
2012-06-30;7;34,2;null;20,972361;7,3;null;
2012-07-31;1;2;null;20,453226;6,7;null;
2012-08-31;null;0;null;22,782917;7,1;null;
2012-09-30;5;23,8;null;25,204722;8,8;null;
2012-10-31;10;67,2;null;25,338978;9;null;
2012-11-30;18;197,8;null;23,526806;11,6;null;
2012-12-31;16;165;null;24,27043;7,7;null;
2013-01-31;24;347,2;null;23,330108;6,5;null;
2013-02-28;19;265,6;null;22,880506;7,1;null;
2013-03-31;19;250;null;23,702586;7,6;null;
2013-04-30;11;174,8;null;22,191944;5,8;null;
2013-05-31;2;29,4;null;22,090726;5,7;null;
2013-06-30;4;null;null;21,844886;6,6;null;
2013-07-31;0;0;null;20,34169;6,2;null;
2013-08-31;1;,2;null;21,495161;7;null;
2013-09-30;6;32,8;null;24,310417;7,7;null;
2013-10-31;21;101,8;null;23,828226;7,4;null;
2013-11-30;13;168,8;null;23,563333;6,6;null;
2013-12-31;26;244,8;null;23,286559;null;null;
2014-01-31;20;188,2;null;23,138844;null;null;
2014-02-28;15;274,8;null;23,179316;null;null;
2014-03-31;21;261,8;null;23,170699;null;null;
2014-04-30;14;209,8;null;23,242778;null;null;
2014-05-31;2;43,4;null;21,447043;null;null;
2014-06-30;3;13,6;null;21,097083;null;null;
2014-07-31;null;null;null;21,395885;null;null;
2014-08-31;null;null;null;null;6,6;null;
2014-09-30;null;null;null;null;6,8;null;
2014-10-31;null;null;null;null;7,3;null;
2014-11-30;8;null;null;23,128646;6,4;null;
2014-12-31;24;271,6;null;23,067742;6,2;null;
2015-01-31;15;106,8;null;24,059946;8,1;null;
2015-02-28;18;211,2;null;23,257887;6,2;null;
2015-03-31;21;163;null;22,839247;6,9;null;
2015-04-30;4;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;3;33,6;null;21,100556;5,2;null;
2015-07-31;3;43,4;null;21,584812;6,5;null;
2015-08-31;2;15,4;null;23,225806;6,3;null;
2015-09-30;5;38,8;null;25,534028;8,4;null;
2015-10-31;13;71;null;25,760484;8;null;
2015-11-30;23;305,8;null;24,148056;9,2;null;
2015-12-31;19;170;null;24,174731;6,4;null;
2016-01-31;24;496,6;null;23,733199;6,2;null;
2016-02-29;18;116,4;null;24,500287;7,5;null;
2016-03-31;20;133,4;null;24,074462;9,3;null;
2016-04-30;4;25;null;24,390139;6;null;
2016-05-31;10;57;null;22,459409;7,3;null;
2016-06-30;5;21;null;20,478056;5,5;null;
2016-07-31;0;0;null;21,663978;6,5;null;
2016-08-31;5;null;null;22,716493;7,2;null;
2016-09-30;2;null;null;null;7,2;null;
2016-10-31;8;null;null;null;7,4;null;
2016-11-30;null;null;null;null;6,5;null;
2016-12-31;null;null;null;null;8,2;null;
2017-01-31;null;null;null;null;6,3;null;
2017-02-28;null;null;null;null;7,8;null;
2017-03-31;null;null;null;null;6,9;null;
2017-04-30;null;null;null;null;5,4;null;
2017-05-31;9;22,4;null;23,194196;5,8;null;
2017-06-30;2;,4;null;21,173194;5,9;null;
2017-07-31;0;0;null;19,618145;6,5;null;
2017-08-31;2;37,2;null;23,561828;7;null;
2017-09-30;4;14,4;null;25,358056;7,3;null;
2017-10-31;14;57,8;null;24,965591;7,2;null;
2017-11-30;21;251,6;null;23,759028;7,9;null;
2017-12-31;25;187,6;null;23,353898;7,2;null;
2018-01-31;23;247,4;null;23,308065;9;null;
2018-02-28;22;161,4;null;23,647768;7;null;
2018-03-31;24;125,8;null;23,967204;6,6;null;
2018-04-30;19;17,4;null;22,704583;7,9;null;
2018-05-31;null;null;null;21,413575;5,6;null;
2018-06-30;null;0;null;21,220417;6,2;null;
2018-07-31;0;0;null;21,378091;6,7;null;
2018-08-31;4;1;null;22,976075;7,6;null;
2018-09-30;null;null;null;23,746944;8,9;null;
2018-10-31;null;null;null;24,322581;7,8;null;
2018-11-30;19;null;null;23,292083;11,3;null;
2018-12-31;15;185;null;24,039516;6,3;null;
2019-01-31;17;140,6;null;24,05121;7,6;null;
2019-02-28;21;260,4;null;23,423512;7,4;null;
2019-03-31;18;217,8;null;23,629436;5,9;null;
2019-04-30;21;213,4;null;23,395694;6,4;null;
2019-05-31;10;51;null;22,272043;5,2;null;
2019-06-30;3;1,4;null;21,181171;7,2;null;
2019-07-31;1;1,8;null;20,745296;7,4;null;
2019-08-31;null;null;null;23,017212;6,7;null;
2019-09-30;null;null;null;null;7,2;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;6;null;null;null;null;null;
2019-12-31;25;331;null;23,620518;8,7;null;
2020-01-31;19;223,8;927,135618;24,39207;7,5;2,220833;
2020-02-29;26;339,2;928,100531;23,594297;7,1;2,110913;
2020-03-31;16;115,4;928,157344;24,211311;6,5;2,125372;
2020-04-30;13;59,4;930,019306;23,395417;6,6;2,090417;
2020-05-31;7;40,6;931,440188;20,260753;5,3;2,162903;
2020-06-30;1;,2;931,360556;21,899028;6,4;2,376667;
2020-07-31;0;0;931,152016;21,978629;5,9;2,424193;
2020-08-31;0;0;930,505914;23,549194;8,1;2,755511;
2020-09-30;3;12,6;928,952254;27,120526;6;2,482631;
2020-10-31;11;179,4;927,086038;26,522428;9,8;2,377966;
2020-11-30;9;34,4;927,36695;25,291651;6,8;2,309367;
2020-12-31;19;214,2;927,156825;24,096447;7;2,168913;
2021-01-31;19;null;927,685205;23,395035;7;2,151469;
2021-02-28;19;119,6;926,705669;23,610974;7,6;2,007321;
2021-03-31;16;null;927,931988;22,679629;5,9;2,084874;
2021-04-30;6;64;929,096111;22,980278;5,1;2,003611;
2021-05-31;3;75,2;930,941936;22,000538;5,9;2,178629;
2021-06-30;2;15,8;931,6125;20,658611;7;2,343194;
2021-07-31;0;0;932,861156;19,709005;5,7;2,531452;
2021-08-31;1;1,4;930,978495;23,598656;9,3;2,623118;
2021-09-30;0;0;928,629988;27,174879;6,3;2,481238;
2021-10-31;11;146;927,637429;24,730585;7,1;2,467377;
2021-11-30;12;null;null;23,392815;5,9;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;5,1;null;
2022-05-31;2;,8;931,001882;20,078226;5,5;2,333871;
2022-06-30;5;25,2;930,882802;21,016673;6,2;2,30587;
2022-07-31;0;0;931,078047;22,268104;5,8;2,405379;
2022-08-31;4;30,6;930,745711;22,300678;8,8;2,762406;
2022-09-30;3;11,8;928,832843;25,214523;7,5;2,743795;
2022-10-31;10;115,2;927,870482;24,613323;7,9;2,44785;
2022-11-30;5;null;927,075726;23,016379;8;2,56122;
2022-12-31;19;null;925,923326;23,406934;6,8;2,369955;
2023-01-31;13;null;927,474228;null;7,1;2,380677;
2023-02-28;15;null;928,516159;23,198562;6,4;2,076604;
2023-03-31;15;null;928,687535;23,77132;6,9;2,212013;
2023-04-30;17;158,6;928,678062;23,102422;6,6;2,018055;
2023-05-31;3;4,8;930,804444;21,999861;5,1;2,218333;
2023-06-30;6;18,2;932,425;19,741523;5,9;2,329885;
2023-07-31;0;0;932,056183;22,268683;6,7;2,465591;
2023-08-31;6;39;930,014785;24,397312;7;2,443817;
2023-09-30;11;53,6;928,716468;26,412554;6,9;2,440265;
2023-10-31;4;null;null;null;null;null;

