Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;2;null;null;null;null;null;
2006-11-30;18;146;984,967113;25,935748;6,5;,914685;
2006-12-31;20;293,8;986,062603;25,680745;6,6;,845691;
2007-01-31;25;240,2;985,846344;26,015542;5,2;,850534;
2007-02-28;28;320,4;986,248363;25,275744;4,9;,945536;
2007-03-31;23;233,2;986,004231;25,921295;6,5;,849042;
2007-04-30;12;140,8;986,644583;26,289167;6,6;,763194;
2007-05-31;8;28,4;987,345603;25,441709;4,9;,840905;
2007-06-30;0;0;988,460278;25,289861;5,7;,783472;
2007-07-31;2;2,6;988,161786;25,632391;6,7;,832064;
2007-08-31;1;2,4;987,132568;25,765539;4,1;,883064;
2007-09-30;4;45,8;986,957639;26,794861;4,2;,693472;
2007-10-31;16;180,6;985,414142;25,9393;8,9;,803202;
2007-11-30;23;193;984,418899;25,754762;9,1;,861458;
2007-12-31;24;241,4;984,998253;25,651344;5,3;,850134;
2008-01-31;26;459,8;985,52957;24,835833;6,1;,839194;
2008-02-29;23;null;986,473642;25,007333;5,9;,93287;
2008-03-31;25;488,8;986,15787;24,766204;4,5;,798765;
2008-04-30;22;218,2;985,330417;25,74375;4,8;,868056;
2008-05-31;14;73,6;987,359619;25,307036;4,6;,922791;
2008-06-30;0;0;988,302768;25,007126;4,4;,873524;
2008-07-31;0;0;988,450538;25,191264;4,5;,850941;
2008-08-31;1;8,8;985,924328;26,952957;4,2;,767742;
2008-09-30;8;50,4;986,700278;26,828889;5,7;,958472;
2008-10-31;20;158,6;986,088979;26,60457;8,6;,93414;
2008-11-30;22;221;984,855399;25,957204;5,4;,829149;
2008-12-31;1;null;null;null;5,3;null;
2009-01-31;null;null;null;null;7,9;null;
2009-02-28;null;null;null;null;5,4;null;
