Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Operante
Data Inicial: 2006-11-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;1;null;null;null;null;null;
2006-12-31;26;294,6;945,266665;23,204848;7,1;1,774278;
2007-01-31;25;314,8;945,234274;23,534543;7,5;1,733065;
2007-02-28;2;1,4;945,171794;23,128747;9,9;1,803504;
2007-03-31;3;22;945,7661;23,010758;7,9;1,268379;
2007-04-30;17;187,6;946,594444;23,152639;6,5;1,287083;
2007-05-31;13;42;947,939849;20,3725;6;1,543295;
2007-06-30;9;3,4;948,731443;20,39308;5,4;1,252385;
2007-07-31;4;1,8;948,432431;20,662195;7;1,755068;
2007-08-31;1;12,6;947,839113;20,951058;5,7;1,743209;
2007-09-30;6;28,2;947,06875;22,974028;6,5;1,3175;
2007-10-31;14;240,8;945,182521;23,262424;6,7;1,436805;
2007-11-30;18;211,2;943,943452;23,184821;7,2;1,821875;
2007-12-31;25;345;944,150806;23,205242;6,4;1,706317;
2008-01-31;29;365,2;944,594086;22,779704;6,6;1,793279;
2008-02-29;25;273,4;945,656897;22,604167;6,3;1,756753;
2008-03-31;27;232,6;945,326235;22,693673;6,5;1,274846;
2008-04-30;27;246,2;945,209444;21,715;5,5;1,493611;
2008-05-31;18;33,2;947,907001;20,672043;6;1,514066;
2008-06-30;20;8,6;948,850586;19,36433;5;1,318291;
2008-07-31;5;1;948,484274;20,767876;5,6;1,43414;
2008-08-31;7;38;946,282393;22,378226;7,1;1,304301;
2008-09-30;9;25,6;947,028333;22,501806;7,4;1,652361;
2008-10-31;19;197;946,036962;23,411559;7,1;1,761962;
2008-11-30;18;91,8;944,207385;23,688768;10;1,614318;
2008-12-31;25;305,2;943,848656;22,992473;7,4;1,893011;
2009-01-31;25;280,2;945,402863;23,117239;6;1,443046;
2009-02-28;24;319,4;944,966951;22,871469;6;1,57224;
2009-03-31;31;410,4;945,211425;22,736425;6,3;1,181855;
2009-04-30;25;253,8;946,529861;23,074028;5,4;1,222361;
2009-05-31;25;129,8;947,186694;22,201613;6;1,302419;
2009-06-30;17;14;948,806528;20,562361;5;1,515833;
2009-07-31;17;7,4;948,344489;20,827554;6;1,356452;
2009-08-31;7;52,2;947,213172;22,128091;11,2;1,455645;
2009-09-30;13;101;947,192361;23,2225;7;1,699444;
2009-10-31;16;224,8;944,549856;23,785776;9,8;1,60158;
2009-11-30;20;null;943,62426;23,628167;7,4;1,652361;
2009-12-31;15;null;944,896013;23,502469;7,3;1,935332;
2010-01-31;9;null;945,067002;null;6,9;1,729187;
2010-02-28;17;null;944,922966;23,762502;7,2;1,385786;
2010-03-31;23;256,4;945,322541;23,977469;6,3;1,176143;
2010-04-30;22;88;946,675862;23,088506;5,1;,967098;
2010-05-31;14;23;947,595833;21,385349;5,7;,501344;
2010-06-30;11;4,2;949,057361;21,392222;3,6;,059167;
2010-07-31;3;21;948,721505;19,457661;5,9;,409677;
2010-08-31;1;2,8;948,252893;20,674529;5,3;,167965;
2010-09-30;4;27,8;945,464583;24,281667;6;,183472;
2010-10-31;14;152;945,316532;24,030914;6,4;,546774;
2010-11-30;20;270,8;943,911099;23,381425;8,6;,686667;
2010-12-31;18;149,4;943,080914;23,026747;7,5;1,973521;
2011-01-31;29;351,2;943,836156;22,602957;7;1,825941;
2011-02-28;22;246,4;944,817708;22,73125;6,1;1,394196;
2011-03-31;27;437,6;944,34118;22,895122;6,7;1,461253;
2011-04-30;16;87,8;946,009306;23,338472;7,3;1,28375;
2011-05-31;10;51,6;947,568683;21,1375;4,9;1,394893;
2011-06-30;9;14;947,967222;20,854028;5,2;1,378333;
2011-07-31;4;,8;947,707796;21,07621;4,8;1,475403;
2011-08-31;1;3,4;947,688844;21,763306;6,1;1,660081;
2011-09-30;10;89,4;947,237639;23,675417;7,7;1,576806;
2011-10-31;15;70,6;944,34664;23,880645;7,4;1,852823;
2011-11-30;24;204,8;944,023056;23,43875;6,1;1,553333;
2011-12-31;18;251,8;944,413038;23,364382;6,2;1,496774;
2012-01-31;28;313,4;944,604704;22,934946;7;1,740054;
2012-02-29;29;323;945,062644;22,556034;6,2;1,397988;
2012-03-31;24;323,8;946,436559;22,391532;6,5;1,216532;
2012-04-30;21;282,4;946,275833;22,69625;6,4;1,155694;
2012-05-31;18;144,6;947,578226;21,985887;6,4;1,202419;
2012-06-30;14;64,6;948,615833;20,832639;5,3;1,307778;
2012-07-31;16;8,8;948,845027;19,906452;5,3;1,332258;
2012-08-31;4;,8;948,714286;21,19375;6,2;1,430856;
2012-09-30;9;65,8;947,380417;23,740695;8,1;1,510694;
2012-10-31;6;null;null;24,071825;6,2;null;
2012-11-30;null;null;944,154167;23,665694;7,2;1,663472;
2012-12-31;29;233,6;944,29207;23,395968;7,4;1,495833;
2013-01-31;27;186;945,214919;23,376479;6,7;1,560887;
2013-02-28;16;null;null;23,096236;5,4;null;
2013-03-31;18;null;945,799395;23,030435;7,1;1,279314;
2013-04-30;26;178;947,102639;22,259028;6;1,258056;
2013-05-31;22;21,6;947,649597;22,305242;6,2;1,286962;
2013-06-30;25;184;948,052699;21,898057;9,8;,961516;
2013-07-31;20;8,4;949,412149;20,265065;5,1;1,302443;
2013-08-31;4;,8;948,245296;20,142608;7,2;1,618011;
2013-09-30;7;21,8;947,010833;23,309861;6,7;1,639444;
2013-10-31;21;194,2;945,988038;23,577688;6,1;1,387903;
2013-11-30;24;225,4;944,125417;23,591111;6;1,62625;
2013-12-31;24;207;944,333199;23,521102;7,8;1,834946;
2014-01-31;27;269;946,16586;22,838575;6,4;1,383333;
2014-02-28;24;259;945,254613;22,852381;6,7;1,487798;
2014-03-31;31;476,6;945,714516;23,269624;5,8;1,460081;
2014-04-30;23;198,6;946,849722;23,150972;6,8;1,221528;
2014-05-31;24;136;947,415188;22,037769;6,1;1,17957;
2014-06-30;20;11,2;948,397361;21,579444;4,7;1,345833;
2014-07-31;20;10,2;950,003091;20,359409;6,7;1,230107;
2014-08-31;8;11,8;948,383064;22,032124;6,5;1,276747;
2014-09-30;8;51,6;946,511805;24,288056;6,3;1,355556;
2014-10-31;18;187,4;946,031586;23,842339;6,9;1,327822;
2014-11-30;22;253,6;944,8225;23,553889;6,2;1,421944;
2014-12-31;25;332,2;945,170027;23,090625;7;1,607258;
2015-01-31;27;230;946,914645;null;6,1;1,1794;
2015-02-28;23;349,2;946,113839;22,894048;6,5;1,555655;
2015-03-31;28;493,4;946,037366;23,073387;5,1;1,237903;
2015-04-30;28;277;946,836528;23,006528;5,5;,939861;
2015-05-31;9;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;6;null;null;null;null;null;
2015-11-30;22;298,6;944,773333;24,142222;6,7;1,431111;
2015-12-31;20;240,6;946,14664;23,877554;6,3;1,331452;
2016-01-31;25;302,8;944,966398;23,869086;8,5;1,910887;
2016-02-29;26;443,8;946,197701;23,837931;6,6;1,180029;
2016-03-31;26;209;947,270699;23,90672;6,2;1,086828;
2016-04-30;23;83,8;946,850278;23,122778;5,8;1,193333;
2016-05-31;25;88;948,899731;21,977016;4,6;1,083468;
2016-06-30;20;7;950,295694;20,2825;5;1,226944;
2016-07-31;16;3,2;948,94879;20,600806;8;1,117339;
2016-08-31;8;72;948,03629;21,72043;6,7;1,392876;
2016-09-30;10;104,4;948,242083;22,091528;5,4;1,421944;
2016-10-31;9;78;945,41631;23,92895;6,1;1,502484;
2016-11-30;21;178,6;944,599306;23,306667;7,6;1,355278;
2016-12-31;23;343,4;944,849328;23,180108;6,1;1,458199;
2017-01-31;28;257,6;945,778763;22,935081;7,2;1,385887;
2017-02-28;22;208,8;945,469494;23,039137;6,6;1,574256;
2017-03-31;28;414,4;945,954435;23,239382;6,2;1,06129;
2017-04-30;24;186,6;946,719722;22,921111;5,6;1,17;
2017-05-31;21;63,6;947,264785;22,946236;4,6;,982393;
2017-06-30;2;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;1;null;null;null;null;null;
2017-09-30;6;40,4;947,045139;23,728611;5,4;1,154444;
2017-10-31;17;123,6;945,332124;23,431317;7;1,508737;
2017-11-30;20;135,4;944,059167;23,724861;9;1,4025;
2017-12-31;24;242,2;944,38078;23,557124;7,7;1,486021;
2018-01-31;29;381;945,315054;22,947312;7,1;1,31371;
2018-02-28;26;303,4;944,902827;23,356994;5,9;1,536012;
2018-03-31;28;262,8;945,573253;22,824644;7,7;1,224328;
2018-04-30;25;240,8;947,023194;22,910972;4,3;,840555;
2018-05-31;28;94,2;948,219489;21,650134;5,7;1,023521;
2018-06-30;20;12,8;949,895833;19,367778;5;1,283472;
2018-07-31;19;3,8;949,26371;19,721237;4,9;1,149328;
2018-08-31;6;3,6;949,008468;21,464335;5;1,343548;
2018-09-30;12;120,6;946,037778;22,791667;7,7;1,485417;
2018-10-31;19;240,8;945,263306;24,007661;6,9;1,139516;
2018-11-30;25;335;944,389306;24,028889;6,4;1,314861;
2018-12-31;25;380,8;946,112903;23,237634;5,6;1,320161;
2019-01-31;28;299,6;946,961694;23,114247;5;1,034946;
2019-02-28;25;457,4;946,14747;23,279762;5,9;1,290179;
2019-03-31;29;255,8;946,503763;23,588844;5,7;,924731;
2019-04-30;25;267,2;946,424722;23,190417;5,3;,800833;
2019-05-31;23;90,2;948,350672;22,094086;4,2;,940591;
2019-06-30;22;7,4;949,60125;21,735833;4,7;,861667;
2019-07-31;16;6;949,553846;20,717788;6;1,086859;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;8;null;null;null;7,6;null;
2019-12-31;25;341,2;948,36922;23,268414;6,5;,93172;
2020-01-31;29;168;948,670296;23,780914;6,3;1,452957;
2020-02-29;27;295,6;949,182759;23,667241;6,5;1,169397;
2020-03-31;20;163;948,972581;24,006989;6,3;,388844;
2020-04-30;13;47,6;950,876111;23,345972;5,9;,289306;
2020-05-31;17;61,2;952,228495;21,105242;4,3;,711962;
2020-06-30;14;18,8;951,600417;21,795833;4,1;,721806;
2020-07-31;9;null;951,335326;21,402355;5,3;,586378;
2020-08-31;null;null;null;null;6,3;null;
2020-09-30;null;null;null;null;5,3;null;
2020-10-31;2;null;null;null;6,2;null;
2020-11-30;13;61;948,32625;24,668472;5,1;,321805;
2020-12-31;16;null;948,415937;23,609063;4,5;,200594;
2021-01-31;12;null;null;null;5,2;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;4,7;null;
2021-11-30;null;null;null;null;4,2;null;
2021-12-31;null;null;null;null;5,8;null;
2022-01-31;null;null;null;null;6,3;null;
2022-02-28;null;null;null;null;5,8;null;
2022-03-31;null;null;null;null;3,8;null;
2022-04-30;null;null;null;null;3,3;null;
2022-05-31;4;null;951,713123;21,913137;4,7;1,185845;
2022-06-30;4;null;951,433011;20,868818;5,2;1,023192;
2022-07-31;3;,6;951,256041;21,235497;5,3;1,036184;
2022-08-31;2;6,6;950,753395;22,247377;7,8;1,330864;
2022-09-30;7;101,6;949,871839;23,502443;5,8;1,514368;
2022-10-31;18;257,6;948,947917;23,021389;7;1,385972;
2022-11-30;11;56;948,16112;22,977885;7,8;1,437509;
2022-12-31;20;289,2;947,508274;22,689157;6,7;1,729099;
2023-01-31;23;303,4;948,873922;22,726262;8,3;1,875056;
2023-02-28;21;null;949,368738;22,510248;8,6;1,308135;
2023-03-31;18;12,2;949,135423;22,967208;6,4;1,352198;
2023-04-30;null;null;949,44494;22,754624;5,5;1,149502;
2023-05-31;1;null;951,204032;22,410215;4,6;1,075806;
2023-06-30;4;null;952,593823;20,842541;5,4;,935402;
2023-07-31;0;0;952,479399;21,009286;5,9;1,122422;
2023-08-31;2;13,2;950,599772;23,171897;6,7;1,219705;
2023-09-30;13;116,8;949,594472;24,554167;8,3;1,454056;
2023-10-31;6;null;null;null;null;null;

