Nome: NOVA UBIRATA
Codigo Estacao: A929
Latitude: -13.41111111
Longitude: -54.75222222
Altitude: 466.48
Situacao: Operante
Data Inicial: 2008-04-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;12;null;null;24,19401;7,3;null;
2008-05-31;4;13,8;960,621096;23,406422;7,8;2,877776;
2008-06-30;0;0;961,65419;23,349462;7,1;2,94859;
2008-07-31;0;0;962,076075;23,989651;8,4;3,508333;
2008-08-31;null;0;959,258333;26,760119;9,2;3,378125;
2008-09-30;5;63;959,347639;27,155139;10,9;3,603611;
2008-10-31;13;47;958,689651;26,828763;11,7;3,204704;
2008-11-30;21;373;957,467452;24,906014;11,3;2,513225;
2008-12-31;5;null;null;null;null;null;
2009-01-31;3;null;null;null;null;null;
2009-02-28;5;null;null;null;9;null;
2009-03-31;16;169;958,040278;24,985;8;2,382917;
2009-04-30;9;null;null;null;5,2;null;
2009-05-31;4;null;null;24,01131;6,5;null;
2009-06-30;null;null;null;null;7;null;
2009-07-31;null;0;961,386389;24,434444;7,7;3,366528;
2009-08-31;3;null;null;null;null;null;
2009-09-30;10;58;960,0075;26,205556;10,3;2,988056;
2009-10-31;17;156,6;957,739511;25,413218;8,5;2,575144;
2009-11-30;14;null;957,279167;25,621014;8,4;2,760326;
2009-12-31;24;341,6;958,338793;23,982615;9,2;2,34023;
2010-01-31;15;null;null;24,164886;9;null;
2010-02-28;10;null;null;25,525;7,2;null;
2010-03-31;11;null;null;25,39838;6,7;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;0;0;962,14625;24,647361;8,3;2,857222;
2010-07-31;0;0;961,671371;24,103495;9,7;3,212769;
2010-08-31;1;null;null;null;null;null;
2010-09-30;0;0;958,185972;28,229028;10,2;2,753056;
2010-10-31;15;142,2;957,9375;26,408064;15,1;2,533064;
2010-11-30;19;268;957,0425;24,880833;10,7;1,988194;
2010-12-31;20;124,2;956,160484;24,315995;10,3;2,05672;
2011-01-31;25;358,8;957,156452;23,72379;13,2;1,78293;
2011-02-28;23;201,6;958,220089;24,134524;9,1;1,430952;
2011-03-31;22;382,2;957,584847;24,228344;10,2;1,07066;
2011-04-30;17;115,4;959,116806;24,896389;8;,626667;
2011-05-31;3;13,8;960,161962;24,210215;7,3;1,291398;
2011-06-30;3;22,4;961,215;23,424722;8,3;,722778;
2011-07-31;1;,2;960,961962;24,524597;8,4;,852151;
2011-08-31;0;0;960,387231;26,281317;9,3;1,108064;
2011-09-30;2;20,6;959,748056;27,919444;12,2;1,268611;
2011-10-31;15;205;957,545296;25,154839;9,6;,519758;
2011-11-30;20;195,8;957,529861;24,3375;10;,332917;
2011-12-31;26;439,4;957,698656;23,846774;8,4;1,863441;
2012-01-31;28;389,8;958,333199;23,337769;8,6;2,682661;
2012-02-29;21;75,6;958,503161;24,139512;13,4;2,748994;
2012-03-31;16;24;959,211425;24,477285;11,3;2,330242;
2012-04-30;14;55,6;959,032917;24,946111;12,1;2,061945;
2012-05-31;6;14,4;960,654436;23,694892;6,2;2,543145;
2012-06-30;1;6,8;961,558472;23,943056;8,4;2,756667;
2012-07-31;0;0;961,620968;23,900672;9;3,114651;
2012-08-31;null;0;961,869758;25,445556;8,5;3,792032;
2012-09-30;5;42;960,229583;27,160694;10;2,912222;
2012-10-31;10;69,4;957,890457;26,758871;13;2,847715;
2012-11-30;29;233,2;957,287917;24,434444;8,5;2,507778;
2012-12-31;26;102,2;957,626747;25,158468;10,5;2,731452;
2013-01-31;27;290,4;958,425672;23,986559;8,5;2,428091;
2013-02-28;28;81;958,574107;24,201637;9,4;2,18378;
2013-03-31;null;null;958,800278;24,959339;9;2,161833;
2013-04-30;8;93,4;959,974722;24,166667;8,1;2,159306;
2013-05-31;null;null;null;null;7,6;null;
2013-06-30;null;null;null;null;6,7;null;
2013-07-31;1;null;null;24,267157;7,6;null;
2013-08-31;0;0;960,838844;24,832527;10,3;3,488844;
2013-09-30;5;46;959,641944;26,333194;11;2,475;
2013-10-31;16;138,6;958,926613;25,498118;13,6;2,648925;
2013-11-30;17;169,8;957,505417;24,23125;8,5;2,398611;
2013-12-31;27;224;957,52621;23,925806;9,2;2,357661;
2014-01-31;27;13,6;959,559543;23,986022;11,4;1,994758;
2014-02-28;null;null;958,426488;24,015476;11;1,883631;
2014-03-31;null;null;958,985081;24,37379;7,3;1,45914;
2014-04-30;null;null;959,737083;24,691806;8,6;1,973472;
2014-05-31;1;,2;960,295833;24,24879;7;2,461559;
2014-06-30;3;38,8;961,426944;23,804306;8,1;2,963472;
2014-07-31;null;null;null;null;8,8;null;
2014-08-31;0;0;961,183333;26,05457;11;3,088979;
2014-09-30;8;5,6;959,478879;27,000298;8,6;2,58431;
2014-10-31;null;null;958,852285;27,036156;9,6;2,858602;
2014-11-30;null;null;958,067361;25,496667;9,1;2,36;
2014-12-31;null;null;958,597446;23,993414;11;2,295565;
2015-01-31;null;0;959,910256;24,418054;9,9;1,983442;
2015-02-28;null;null;959,452976;24,07753;11,1;2,470089;
2015-03-31;null;null;959,276344;24,525538;9,5;2,273522;
2015-04-30;null;null;null;null;6,9;null;
2015-05-31;null;null;null;null;6,9;null;
2015-06-30;null;null;null;null;6,6;null;
2015-07-31;1;null;null;24,649444;8,5;null;
2015-08-31;0;0;960,688441;26,190188;8,9;3,16828;
2015-09-30;4;38,8;958,839028;28,353611;7,6;2,8175;
2015-10-31;10;86,8;958,70578;27,660753;11,1;2,852151;
2015-11-30;13;70,4;957,774861;26,436111;9,5;2,459306;
2015-12-31;21;172,6;959,271371;25,932527;8,2;2,353091;
2016-01-31;10;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;21;289;960,094355;25,475538;9,9;2,324731;
2016-04-30;6;58,8;959,578472;25,948472;11,3;2,493333;
2016-05-31;2;13,8;961,36707;25,324462;7,5;1,808064;
2016-06-30;0;0;962,907222;24,34375;8;2,624028;
2016-07-31;0;0;961,98414;24,854167;8,6;2,836559;
2016-08-31;3;43,6;960,83414;26,023656;7,4;1,417742;
2016-09-30;8;58,6;960,528305;25,891316;14,9;1,825523;
2016-10-31;8;null;null;26,135223;9,6;null;
2016-11-30;null;null;957,592639;25,198889;9,6;2,426945;
2016-12-31;null;null;958,549731;23,953226;10;2,207527;
2017-01-31;null;null;959,032258;24,038441;8,6;1,988978;
2017-02-28;null;null;958,891667;24,107407;9,3;2,214352;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;961,738218;23,724713;6,4;2,268966;
2017-07-31;null;null;964,115188;22,943548;8,5;3,075941;
2017-08-31;null;null;960,293548;26,448118;10,1;2,151344;
2017-09-30;null;null;959,866806;27,624444;10;2,533056;
2017-10-31;null;null;958,057392;26,542742;9,1;2,469355;
2017-11-30;null;null;957,3375;24,851806;8,2;1,972917;
2017-12-31;null;null;957,886694;24,540188;10,2;2,232258;
2018-01-31;null;null;958,617876;24,291129;10,7;2,055511;
2018-02-28;null;null;958,071577;24,147321;8,1;2,021429;
2018-03-31;10;null;958,645968;24,732124;10,2;1,861156;
2018-04-30;14;55,8;960,208056;24,643889;7,4;2,254028;
2018-05-31;4;12,8;961,266935;24,252285;7,1;2,800403;
2018-06-30;0;0;962,588333;23,2825;7,8;3,045972;
2018-07-31;0;0;962,200672;24,002419;8,4;2,853629;
2018-08-31;2;8,8;961,40336;26,036022;9,9;3,092742;
2018-09-30;6;12,2;958,756528;26,67375;10,6;2,868472;
2018-10-31;17;155,8;958,433871;25,968683;12,3;2,573656;
2018-11-30;21;424,4;957,840278;24,701667;10,1;2,267222;
2018-12-31;25;330,2;959,236962;24,304436;7,8;2,252554;
2019-01-31;19;203,2;960,24879;24,695699;9,9;2,112769;
2019-02-28;22;297,6;959,241667;24,918006;9,8;2,112054;
2019-03-31;20;166,4;959,753763;24,9125;8;1,857796;
2019-04-30;19;113,2;959,651667;25,100556;8,8;1,500694;
