Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Operante
Data Inicial: 2008-01-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;5;null;null;null;null;null;
2008-02-29;19;187,4;952,134626;24,432328;7,9;1,313362;
2008-03-31;19;214;952,031019;24,633179;5,6;1,111883;
2008-04-30;15;186,2;951,771389;24,443611;5,6;1,09375;
2008-05-31;8;18;954,980873;22,40658;5,4;1,175251;
2008-06-30;0;0;956,003086;22,496159;5;,882832;
2008-07-31;0;0;956,401344;22,891532;4,4;,933871;
2008-08-31;1;,4;953,547715;25,938306;7,4;1,156586;
2008-09-30;3;7,2;953,535417;26,69125;6,1;1,561389;
2008-10-31;11;121,4;952,696237;26,764651;8,6;1,457393;
2008-11-30;18;207,6;950,914722;25,75375;6,8;1,097778;
2008-12-31;21;175,2;950,320968;24,925538;5,5;1,093011;
2009-01-31;20;207,2;952,034619;25,067999;5,3;1,132083;
2009-02-28;25;340,4;951,862243;24,685917;5,4;,959673;
2009-03-31;19;191,6;951,738575;25,189247;6,2;,982796;
2009-04-30;10;56,8;953,439306;24,686806;4,9;,928472;
2009-05-31;6;13,2;954,476882;23,659005;5,1;,814785;
2009-06-30;2;28,2;956,15375;21,9225;6,3;,996111;
2009-07-31;2;1;955,599328;23,195027;5,5;,912903;
2009-08-31;4;17,2;954,524731;24,941263;7,8;1,23414;
2009-09-30;9;94,8;953,928889;25,653889;5,5;1,277083;
2009-10-31;15;73,8;951,328161;25,953879;5,8;1,143678;
2009-11-30;20;288,6;950,919306;25,277778;5,9;,988472;
2009-12-31;25;365,2;951,573925;24,443145;6,6;1,133064;
2010-01-31;20;242,6;952,00576;25,104306;6,4;1,097926;
2010-02-28;18;257,6;952,028571;25,605357;6,7;1,062202;
2010-03-31;21;117,2;951,975134;26,01828;5,8;1,100672;
2010-04-30;5;63,8;953,626944;25,318194;3,9;,846944;
2010-05-31;3;,8;954,530376;23,140323;5,1;1,127957;
2010-06-30;1;7,2;956,489583;23,619306;3,8;,847361;
2010-07-31;2;,4;956,218145;22,081048;4,2;1,12164;
2010-08-31;null;0;955,507174;24,596057;6;1,111999;
2010-09-30;0;0;952,182083;28,722917;5,8;1,200972;
2010-10-31;11;132,6;951,594624;27,182392;8,7;1,471774;
2010-11-30;16;261,6;950,53125;25,431528;5,6;1,120972;
2010-12-31;20;183,8;949,491667;25,063172;5,8;1,050538;
2011-01-31;26;446,8;950,545565;24,507527;5,2;,968817;
2011-02-28;19;309,6;951,838095;24,52381;5,3;,937202;
2011-03-31;25;256,2;951,025607;24,109326;4,8;,776524;
2011-04-30;1;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;3;null;null;23,350595;4,6;null;
2011-07-31;1;,4;null;24,607796;5;,981048;
2011-08-31;1;,2;null;26,393414;5,1;1,303629;
2011-09-30;4;48,6;null;28,924306;5,9;1,490139;
2011-10-31;18;92,2;null;26,683064;7,9;1,281048;
2011-11-30;11;124,8;null;26,57125;6,3;1,215139;
2011-12-31;19;438,6;null;25,789516;7,2;,91586;
2012-01-31;26;319;null;25,278629;5,5;1,012366;
2012-02-29;16;199,6;null;25,818391;5,7;,80273;
2012-03-31;15;206,6;null;25,846371;6,3;,860081;
2012-04-30;18;154,6;null;26,081389;6;,789167;
2012-05-31;9;67,8;null;24,116398;4;,700134;
2012-06-30;6;51;null;23,701806;6,6;,773333;
2012-07-31;0;0;null;23,477016;3,9;,842742;
2012-08-31;null;0;null;25,742639;4,2;,985084;
2012-09-30;7;97,2;954,533611;28,243889;7,8;1,012639;
2012-10-31;8;47,2;951,936425;28,140054;6,8;,997984;
2012-11-30;23;372,8;950,932222;25,7775;5,4;,859722;
2012-12-31;20;128,2;951,630779;26,935484;5,6;,793414;
2013-01-31;27;488,4;951,949194;25,586828;5,2;,974059;
2013-02-28;22;321;952,764137;25,262054;8,6;,902679;
2013-03-31;22;143,4;952,841472;26,150287;6;,923222;
2013-04-30;11;179,8;954,3875;25,090417;5,1;,919167;
2013-05-31;2;23;955,026344;25,17164;4,5;,822177;
2013-06-30;3;77,6;955,714874;25,004811;5,6;,72654;
2013-07-31;1;,6;957,035127;23,680002;5,2;,938301;
