Nome: ITIQUIRA
Codigo Estacao: A933
Latitude: -17.17499999
Longitude: -54.50166666
Altitude: 593.12
Situacao: Pane
Data Inicial: 2008-08-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;null;null;26,44349;8,2;null;
2008-09-30;3;2,6;946,7;25,784028;7,3;2,965694;
2008-10-31;11;112,4;945,676613;25,756989;13,4;2,952016;
2008-11-30;18;151,6;943,781624;25,195399;9;2,493037;
2008-12-31;18;163,8;943,13293;24,497043;7,4;2,426075;
2009-01-31;15;87,2;944,898042;24,424901;8,8;2,360881;
2009-02-28;20;311,4;944,678041;24,115606;9;2,274554;
2009-03-31;17;110,6;944,681855;24,614785;8,4;1,946102;
2009-04-30;8;39,8;946,438889;24,097361;5,7;1,822361;
2009-05-31;7;43;947,394489;22,827419;7,3;2,054435;
2009-06-30;2;21,8;949,106528;21,121528;5,9;2,047083;
2009-07-31;2;15,6;948,519454;22,786436;8,5;2,331983;
2009-08-31;6;39,8;947,414382;24,418548;8,2;2,903495;
2009-09-30;10;33;946,882083;24,995972;9,8;2,837917;
2009-10-31;9;106,8;944,138218;25,514943;9,2;2,785058;
2009-11-30;18;143,6;943,546806;24,947222;8,5;2,925833;
2009-12-31;26;183,6;944,271733;23,886793;9,5;3,025579;
2010-01-31;23;398,6;944,717644;24,295161;9,1;2,851381;
2010-02-28;16;92,8;944,843304;25,220536;10,6;2,672173;
2010-03-31;17;188,2;944,892339;24,978495;7,8;2,544624;
2010-04-30;9;93,4;946,723056;24,400139;7,5;2,488472;
2010-05-31;1;1,4;947,685081;21,952419;8,2;2,455645;
2010-06-30;1;1;949,399861;23,546111;7,1;2,791806;
2010-07-31;0;0;949,102285;21,999328;9,2;2,986962;
2010-08-31;null;0;948,416383;24,728714;12,7;3,188044;
2010-09-30;0;0;945,166667;28,083333;11,1;3,555972;
2010-10-31;2;9,4;944,68414;26,214919;11,1;3,050269;
2010-11-30;11;31,4;943,414028;24,640139;11,1;2,988611;
2010-12-31;17;27,2;942,277419;24,22957;9,5;2,993145;
2011-01-31;13;55,2;943,3625;23,918683;7,7;2,683065;
2011-02-28;null;null;944,649256;23,895685;10,1;2,722619;
2011-03-31;null;null;943,810729;23,354574;8,6;2,566465;
