Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2008-01-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;3;null;null;null;null;null;
2008-02-29;18;244;976,43477;25,034626;5,8;1,668822;
2008-03-31;19;107,8;976,312037;24,756944;6,3;1,332407;
2008-04-30;18;116;976,450278;23,6;4,4;1,437361;
2008-05-31;8;16,6;979,788517;21,83729;5,8;1,536115;
2008-06-30;9;2,6;980,898279;20,400025;4,5;1,423199;
2008-07-31;0;0;979,915457;22,578898;4,8;1,864651;
2008-08-31;3;41,4;977,41707;24,693817;5,8;1,82164;
2008-09-30;5;23,6;978,366111;24,684583;6;2,0225;
2008-10-31;13;100,4;976,941263;26,06828;6;1,970564;
2008-11-30;11;145,8;974,882524;26,292699;5,8;1,787053;
2008-12-31;20;216,2;974,449059;25,425941;5;1,662769;
2009-01-31;14;232,8;976,201099;25,264487;6,1;1,454476;
2009-02-28;23;248;975,751623;25,218858;5,7;1,507576;
2009-03-31;22;262,6;976,105242;25,172043;5,5;1,285484;
2009-04-30;13;128,8;977,746389;24,793194;3,9;1,254722;
2009-05-31;8;40,2;978,570699;23,727016;4;1,420161;
2009-06-30;7;9;980,783472;21,232222;4,6;1,478194;
2009-07-31;7;48,6;980,007124;22,096774;6,9;1,625;
2009-08-31;6;33,8;978,647446;23,618952;5,2;1,835618;
2009-09-30;8;20;978,421667;25,070972;5,9;2,070417;
2009-10-31;13;105,4;975,167385;26,739511;5,3;1,926724;
2009-11-30;17;207,6;974,224445;26,262083;6,1;1,880833;
2009-12-31;21;241;975,46828;25,532796;5,5;1,803629;
2010-01-31;23;305,8;975,682955;25,626124;6,5;1,665347;
2010-02-28;19;485;975,733184;25,920089;6,5;1,600893;
2010-03-31;22;249,2;976,18293;26,036156;5,2;1,439382;
2010-04-30;16;74,2;978,14125;24,250278;4,9;1,387222;
2010-05-31;14;50,6;979,514113;21,951747;5,2;1,570027;
2010-06-30;4;3,4;980,668583;22,435345;5,2;1,586917;
2010-07-31;0;0;980,667204;20,802688;5,3;1,918817;
2010-08-31;null;0;979,82189;22,640797;5,1;1,990652;
2010-09-30;3;5;976,248194;26,936389;6,8;1,956528;
2010-10-31;14;210,2;976,177688;26,215188;7,3;1,936694;
2010-11-30;18;237,8;974,929583;24,753611;5,3;1,596389;
2010-12-31;14;90,2;973,549866;25,439919;5,9;1,71129;
2011-01-31;null;null;974,563172;25,056855;5,8;1,139651;
2011-02-28;null;null;975,819643;24,605208;4,2;,70119;
2011-03-31;null;null;975,138933;24,873524;4,8;,769398;
2011-04-30;null;null;977,110278;25,453889;4,8;,728333;
2011-05-31;null;null;979,50121;22,215995;4,4;,772715;
2011-06-30;null;null;979,555833;22,452083;5,3;1,041806;
2011-07-31;5;1;979,243952;23,054032;5,3;1,211425;
2011-08-31;0;0;979,11828;24,167473;6;1,704704;
2011-09-30;null;null;978,32375;26,567778;4,9;1,281389;
