Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2008-08-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;1;null;null;null;null;null;
2008-09-30;7;94,2;946,852778;25,277361;7,2;1,795417;
2008-10-31;17;171,6;945,956317;24,952016;6,6;1,897715;
2008-11-30;20;406;944,222047;24,616141;5,7;1,699716;
2008-12-31;25;340,6;943,915001;23,801923;5,2;1,807556;
2009-01-31;25;250;945,396833;24,010782;5,2;1,636921;
2009-02-28;24;244,6;944,997457;23,583185;4,9;1,683861;
2009-03-31;29;283;945,156317;23,73078;8,3;1,549866;
2009-04-30;19;190,4;946,379167;24,183611;8,1;1,680278;
2009-05-31;11;142,8;947,025538;24,177688;5,9;1,850672;
2009-06-30;5;4,8;948,55375;22,906944;6,5;2,06625;
2009-07-31;4;53;948,138575;23,878763;5,9;1,814919;
2009-08-31;2;14,6;947,044688;25,428746;6,7;1,939399;
2009-09-30;12;54;947,032784;25,209354;5,6;1,878231;
2009-10-31;9;null;null;25,194345;5,6;null;
2009-11-30;26;364;943,698056;24,674722;7,8;1,873472;
2009-12-31;24;210;944,935753;23,83414;5,3;1,823656;
2010-01-31;20;null;945,361463;23,620385;6,3;1,696552;
2010-02-28;2;null;null;null;6,4;null;
2010-03-31;20;null;945,352034;24,467022;6;1,62027;
2010-04-30;8;null;946,430952;25,255904;5,2;1,801165;
2010-05-31;7;16,6;947,321698;23,827221;5,8;1,978804;
2010-06-30;1;null;948,917396;24,779691;7,1;1,836289;
2010-07-31;null;null;null;22,603893;6,3;null;
2010-08-31;null;null;null;25,661611;5,6;null;
2010-09-30;5;23;945,401699;27,08;6,9;1,839027;
2010-10-31;19;211,2;945,262769;25,069086;7,5;1,850538;
2010-11-30;17;64,8;943,892361;24,395417;6,3;1,813889;
2010-12-31;22;280,4;943,178898;24,041263;7,5;1,827016;
2011-01-31;28;447,6;943,917608;23,014516;6,1;1,820161;
2011-02-28;24;308,4;944,840179;23,355952;6;1,61131;
2011-03-31;26;400;944,354319;23,542647;8,3;1,705655;
2011-04-30;16;215,8;945,911944;24,581528;7,8;1,739445;
2011-05-31;2;7,8;947,249731;23,986828;5;1,947312;
2011-06-30;0;0;947,772639;24,465139;6,1;1,88;
2011-07-31;2;1,2;947,520027;24,793548;5,5;1,964919;
2011-08-31;5;88,8;947,49664;25,185215;6,1;1,91129;
2011-09-30;13;87,4;947,10625;25,601806;8,2;1,82;
2011-10-31;19;172;944,31129;24,957796;6,4;1,953092;
2011-11-30;17;216,4;944,029722;24,643056;5,5;1,857222;
2011-12-31;25;404,6;944,466532;23,722177;5,4;1,728495;
2012-01-31;25;260,4;944,739382;23,255914;4,5;1,751613;
2012-02-29;24;317,4;945,079598;23,005747;5,4;1,724569;
2012-03-31;25;170,6;946,311156;23,533199;6,5;1,670833;
2012-04-30;19;359,4;946,143333;24,149583;6,9;1,657917;
2012-05-31;13;78,6;947,417204;24,137097;5,1;1,813575;
2012-06-30;6;18,4;948,467638;23,624228;5;1,775854;
2012-07-31;1;7,8;948,657887;23,514137;4,6;1,831399;
2012-08-31;null;0;948,457796;26,12875;5,4;1,985503;
2012-09-30;8;64;947,355417;26,353472;7,2;1,757639;
2012-10-31;11;160,2;945,153495;25,452688;9,3;1,767608;
2012-11-30;21;309,2;944,240278;24,163472;5,2;1,688889;
2012-12-31;22;309,2;944,286694;24,333199;6,1;1,758871;
2013-01-31;28;534,8;945,331855;23,640457;4,2;1,604301;
2013-02-28;26;372,2;945,109375;23,436161;5;1,689881;
2013-03-31;26;359,6;945,811778;24,00431;5;1,591028;
2013-04-30;18;226,8;946,906945;23,601667;6,8;1,913194;
2013-05-31;12;161,8;947,461425;23,934677;4,9;1,837769;
2013-06-30;10;27,2;947,868687;24,545732;4,6;1,610316;
2013-07-31;3;5,2;949,155219;23,519045;5,4;1,853547;
2013-08-31;2;7,8;947,930487;24,1795;6,3;2,111244;
2013-09-30;11;41,6;946,885833;25,415556;5,7;1,834444;
2013-10-31;22;206,2;945,956048;24,36371;7,4;1,739382;
2013-11-30;22;257,6;944,064722;24,051667;5,7;1,945972;
2013-12-31;24;200,4;944,428763;24,058871;5;1,787903;
2014-01-31;29;468,6;946,086156;23,136828;5,9;1,845027;
2014-02-28;24;370,8;945,244643;23,180208;6,7;1,676339;
2014-03-31;29;269,2;945,673253;23,808602;5,4;1,696102;
2014-04-30;22;202,2;946,707639;24,192917;6,5;1,665139;
2014-05-31;16;94,4;947,179839;23,604167;5,2;1,765054;
2014-06-30;6;17;948,160278;23,753333;4,8;1,889583;
2014-07-31;5;21,8;949,742742;23,48293;5,7;1,811828;
2014-08-31;2;43,2;948,183333;25,707124;6,7;1,712097;
2014-09-30;14;69;946,4775;26,355556;6,1;1,584583;
2014-10-31;24;102,4;945,980108;25,153763;5,2;1,604167;
2014-11-30;20;397;944,82;24,147639;5,7;1,629167;
2014-12-31;26;320,2;945,183602;23,794758;6,7;1,697177;
2015-01-31;24;348,6;946,821424;23,868186;5,9;1,600164;
2015-02-28;24;283;946,105804;23,838691;7,2;1,762054;
2015-03-31;29;488,6;946,030376;23,804301;4,5;1,556721;
2015-04-30;22;180,4;946,711667;24,417917;5,3;1,508889;
2015-05-31;15;180;947,700806;24,029301;4,9;1,822984;
2015-06-30;5;23,2;949,076111;24,356389;5,4;1,943472;
2015-07-31;5;6,2;948,628091;24,493414;5,7;1,916398;
2015-08-31;2;11,6;947,249328;26,995968;6,7;1,835215;
2015-09-30;2;null;null;null;5,7;null;
2015-10-31;3;null;null;null;5,2;null;
2015-11-30;null;null;944,718472;25,59875;null;null;
2015-12-31;18;190,6;946,113441;25,225403;null;null;
2016-01-31;23;361,4;945,119355;24,439247;null;null;
2016-02-29;26;331,2;946,097558;24,814942;null;null;
2016-03-31;26;297,4;947,14664;24,61129;null;null;
2016-04-30;3;null;null;null;null;null;
2016-05-31;4;null;null;null;null;null;
