Nome: CACOAL
Codigo Estacao: A939
Latitude: -11.44583333
Longitude: -61.43416666
Altitude: 183.53
Situacao: Operante
Data Inicial: 2008-07-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;null;null;null;null;null;
2008-08-31;3;35,2;988,740591;27,542204;9,1;1,23871;
2008-09-30;5;26,2;989,673521;27,516793;9,1;1,458273;
2008-10-31;9;null;988,822743;27,063447;5,1;1,360714;
2008-11-30;10;null;987,115848;26,809032;5,9;1,392284;
2008-12-31;20;420;987,111022;25,755108;5,4;1,296774;
2009-01-31;21;329,4;988,506335;26,045833;4,7;1,251344;
2009-02-28;24;376,8;988,165206;25,423607;5;1,248377;
2009-03-31;21;258;988,214651;25,732661;6,1;1,190995;
2009-04-30;20;260,2;989,472083;25,644444;5,1;1,233889;
2009-05-31;12;35,2;990,032381;25,596149;6,4;1,137845;
2009-06-30;4;16,4;991,723889;24,47;5,1;1,284444;
2009-07-31;3;5;991,152536;25,201332;4,3;1,274521;
2009-08-31;5;63,8;989,782527;26,724731;6;1,318011;
2009-09-30;8;28,4;989,549028;27,625939;5,1;1,389686;
2009-10-31;null;null;null;null;5,8;null;
2009-11-30;17;195;986,540888;26,839882;5,2;1,27653;
2009-12-31;24;269,4;988,097312;25,654704;5,8;1,289382;
2010-01-31;28;430,8;988,312681;25,861181;4,6;1,321502;
2010-02-28;22;361,4;987,836364;26,02872;5,8;1,263542;
2010-03-31;22;345,4;988,369162;26,522604;6,1;1,257807;
2010-04-30;7;35,8;989,316268;26,706341;5,1;1,303357;
2010-05-31;5;140,4;990,295968;25,564516;5,8;1,387366;
2010-06-30;0;0;991,814354;25,580749;4,7;1,231135;
2010-07-31;2;4;991,628763;24,273118;4,7;1,340188;
2010-08-31;2;1,8;990,821196;25,741363;6,1;1,288125;
2010-09-30;4;47,8;987,99;28,812778;8,7;1,364028;
2010-10-31;14;117,6;988,096172;27,026934;8;1,379184;
2010-11-30;17;118,2;986,835972;26,768333;4,8;1,448333;
2010-12-31;17;151,4;986,264371;26,328666;5,1;1,434026;
2011-01-31;21;null;987,144582;25,276855;6,1;1,337553;
2011-02-28;24;405,2;988,126665;25,160164;5,2;1,266178;
2011-03-31;23;190,2;987,548555;25,574142;5;1,267773;
2011-04-30;20;223,6;988,884861;26,028472;9;1,223611;
2011-05-31;3;null;990,15546;25,49432;5,4;1,336254;
2011-06-30;3;33,4;990,668054;25,373134;6,2;1,304605;
2011-07-31;null;0;990,361165;26,184532;5,7;1,345769;
2011-08-31;3;9,8;990,358445;26,940547;5,9;1,474397;
2011-09-30;5;null;990,023605;27,621069;6;1,31984;
2011-10-31;8;null;987,228772;null;6,5;1,411176;
2011-11-30;14;95,6;986,956667;26,780139;4,5;1,40125;
2011-12-31;27;446,4;987,503226;25,820565;6,2;1,264516;
2012-01-31;27;377,8;988,090591;25,21586;4,8;1,320027;
2012-02-29;25;292,4;988,352299;24,636207;5,1;1,222558;
2012-03-31;21;239;989,39207;25,598253;4,6;1,275941;
2012-04-30;16;141,6;989,119583;26,130694;6;1,226945;
2012-05-31;12;30,6;990,339113;25,640188;4,1;1,149059;
2012-06-30;5;18;991,525278;25,243472;5,3;1,215833;
2012-07-31;1;9,4;991,634397;24,964709;4,9;1,301952;
2012-08-31;null;0;991,144235;27,233255;4,8;1,393833;
2012-09-30;6;38,6;990,107639;28,331111;6,2;1,406944;
2012-10-31;12;222,6;987,976747;27,471774;6,4;1,34543;
2012-11-30;23;249,4;987,2225;26,264583;6,2;1,291945;
2012-12-31;20;162,2;987,337366;26,198253;5,1;1,320968;
2013-01-31;28;429,6;988,554704;25,918145;5,5;1,275941;
2013-02-28;26;353,6;988,238839;25,748958;5,1;1,293155;
2013-03-31;18;270,6;988,930361;26,284626;5,8;1,278555;
2013-04-30;6;null;null;null;4,2;null;
2013-05-31;null;null;null;null;4,3;null;
2013-06-30;null;null;null;null;3,6;null;
2013-07-31;5;63,4;992,289919;24,831048;5,1;1,220699;
2013-08-31;null;null;990,923118;25,703898;6,4;1,410887;
2013-09-30;8;55,4;989,701528;27,530833;5;1,344583;
2013-10-31;21;280;988,900269;26,660618;6,3;1,396371;
2013-11-30;23;277,2;987,02875;25,677917;6;1,365694;
2013-12-31;24;363,4;987,617263;26,291264;4,9;1,41465;
2014-01-31;25;356,6;989,179704;25,420296;4,1;1,281452;
2014-02-28;24;369,8;988,452679;25,324851;7,7;1,290774;
2014-03-31;27;444,4;988,802688;25,917339;5;1,326478;
2014-04-30;18;140,8;989,729783;26,236564;5,4;1,200374;
2014-05-31;18;142,6;990,231989;25,391398;5,6;1,200538;
2014-06-30;5;32,4;991,125833;25,564167;4,1;1,29625;
2014-07-31;3;19,4;992,878898;25,098387;5,9;1,314919;
2014-08-31;3;12,2;990,921371;26,942473;5;1,297581;
2014-09-30;5;29,2;989,15625;28,659028;6;1,319445;
2014-10-31;15;93,6;988,850806;27,630242;6,2;1,370161;
2014-11-30;22;309,2;987,806111;26,368889;5,3;1,408333;
2014-12-31;25;323,4;988,28293;26,067876;5,9;1,399059;
2015-01-31;21;258,2;989,939113;25,836694;5,9;1,303763;
2015-02-28;17;null;989,214099;26,033514;6,3;1,421025;
2015-03-31;23;277,6;989,155645;26,190188;6,4;1,332661;
2015-04-30;20;146,4;989,709861;26,293333;4,5;1,224861;
2015-05-31;16;234,4;990,70578;25,767339;3,7;1,228226;
2015-06-30;6;16,6;992,022083;25,64125;4,4;1,236111;
2015-07-31;2;3,6;991,531317;25,992742;4,3;1,291532;
2015-08-31;null;null;null;27,693981;4,9;null;
2015-09-30;null;null;null;null;3,6;null;
2015-10-31;1;null;null;null;4,7;null;
2015-11-30;15;182,2;987,400972;27,827778;6,6;1,392065;
2015-12-31;17;305,2;988,9625;27,190591;7,3;1,351075;
2016-01-31;19;257,8;988,189247;26,59086;5,6;1,398387;
2016-02-29;20;207,6;988,95431;26,851868;5,2;1,328592;
2016-03-31;23;514,2;990,16707;26,34879;5,3;1,26586;
2016-04-30;6;28,6;989,516944;26,9175;4,8;1,381944;
2016-05-31;10;47,6;991,616667;25,887903;5,7;1,260484;
2016-06-30;2;5,2;993,14375;25,128056;5;1,327639;
2016-07-31;0;0;991,601479;26,185349;4,2;1,270833;
2016-08-31;2;14,6;990,609677;27,482796;6,5;1,453226;
2016-09-30;10;50,4;990,924722;26,873056;6,4;1,576806;
2016-10-31;8;144,8;988,19664;27,983871;5,6;1,506989;
2016-11-30;16;280,8;987,427917;26,77375;5,2;1,464583;
2016-12-31;24;304,6;988,06707;26,131452;4,6;1,473118;
2017-01-31;22;325,6;989,056586;25,89086;5,6;1,371371;
2017-02-28;25;358,6;988,821131;25,408185;6,5;1,377827;
2017-03-31;23;382,6;988,971371;26,066398;4,7;1,287634;
2017-04-30;18;314;989,729306;26,066528;4,6;1,300972;
2017-05-31;14;145,8;990,098656;26,392742;4,5;1,144238;
2017-06-30;4;3,8;991,528333;24,915417;5,2;1,283611;
2017-07-31;0;0;993,450941;24,773118;5,8;1,436425;
2017-08-31;3;29,4;989,953939;27,690317;7;1,317578;
2017-09-30;5;52,8;989,652917;28,01125;11,7;1,277639;
2017-10-31;14;219,2;988,299194;26,827957;7,2;1,447446;
2017-11-30;22;240,8;987,126111;26,535;6,2;1,385417;
2017-12-31;23;279,6;987,648656;25,843683;5,6;1,39086;
2018-01-31;26;247,8;988,494624;25,822177;5,4;1,373387;
2018-02-28;22;164,8;988,285714;25,773958;5,7;1,460268;
2018-03-31;23;288;988,700672;26,320565;5,5;1,346774;
2018-04-30;21;112,6;989,941528;26,042222;4,4;1,251528;
2018-05-31;13;125,4;991,021075;25,815694;4,2;1,255672;
2018-06-30;null;null;null;null;4,3;null;
2018-07-31;null;null;null;null;4,6;null;
2018-08-31;2;null;null;25,841945;4,9;null;
2018-09-30;8;71,2;988,802639;27,170695;6;1,413472;
2018-10-31;16;106,4;988,088978;27,269624;5,4;1,335618;
2018-11-30;22;335,8;987,503194;26,458056;5;1,337361;
2018-12-31;26;443,8;989,497849;25,711828;4,2;1,309946;
2019-01-31;24;323,2;990,14664;25,832258;5,8;1,32164;
2019-02-28;24;422,2;989,433333;26,03631;5;1,352976;
2019-03-31;22;321,6;989,572043;26,315323;6,2;1,325538;
2019-04-30;19;295;989,510417;26,025;4,8;1,159583;
2019-05-31;12;67,4;990,191935;26,002688;4,8;1,219624;
2019-06-30;6;1,6;991,725556;26,274861;3,6;1,289167;
2019-07-31;1;,4;991,90914;25,821774;4,2;1,358468;
2019-08-31;2;2,6;992,24664;26,722581;5,9;1,485618;
2019-09-30;4;15,8;989,242778;29,213889;5,3;1,380694;
2019-10-31;16;223,6;988,969314;26,456756;5,8;1,381633;
2019-11-30;22;473,2;987,554861;26,354028;6,2;1,302639;
2019-12-31;20;281,4;988,139516;26,477554;4,8;1,311877;
2020-01-31;22;258,4;988,709274;26,889919;4,6;1,493817;
2020-02-29;21;393,4;989,233046;26,487069;4,9;1,400431;
2020-03-31;23;177;988,882258;26,398118;4,7;1,254839;
2020-04-30;15;81,6;990,372222;26,804167;4,5;1,275833;
2020-05-31;9;140,2;991,826344;25,177419;5,6;1,265323;
2020-06-30;7;4,8;991,165;25,91;4,3;1,223472;
2020-07-31;2;2,8;990,687097;26,357661;3,9;1,288306;
2020-08-31;0;0;990,144892;27,102823;5,3;1,442608;
2020-09-30;1;18,2;988,784722;29,219583;5,5;1,294583;
2020-10-31;15;112,2;988,381317;27,816263;5,6;1,463172;
2020-11-30;17;237;987,839028;27,541111;5,6;1,403611;
2020-12-31;23;263;988,113844;26,536022;6,3;1,410081;
2021-01-31;25;306,2;988,322715;26,089382;5,9;1,402016;
2021-02-28;23;232,2;988,240774;26,006696;5,4;1,380208;
